"Period","Date","Date2","Treatment","Site","choice","dung_density","Activity","Ind_Secs"
12,2017-09-22,2017-12-21,"CONT","Kambi","BUFFALO",7.11111111111111,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","BUFFALO",7.11111111111111,"dgraze",31.4204265591398
12,2017-09-22,2017-12-21,"CONT","Kambi","CATTLE",5.33333333333333,"dcount",30.5967741935484
12,2017-09-22,2017-12-21,"CONT","Kambi","CATTLE",5.33333333333333,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","CATTLE",5.33333333333333,"dgraze",18.0994623655914
12,2017-09-22,2017-12-21,"CONT","Kambi","ZEBRA",0,"dcount",7.63709677419355
12,2017-09-22,2017-12-21,"CONT","Kambi","ZEBRA",0,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","ZEBRA",0,"dgraze",0
12,2017-09-22,2017-12-21,"CONT","Kambi","IMPALA",0,"dcount",0.268817204301075
12,2017-09-22,2017-12-21,"CONT","Kambi","IMPALA",0,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","IMPALA",0,"dgraze",0
12,2017-09-22,2017-12-21,"CONT","Kambi","GIRAFFE",0,"dcount",0.0537634408602151
12,2017-09-22,2017-12-21,"CONT","Kambi","GIRAFFE",0,"ddrink",0
12,2017-09-22,2017-12-21,"CONT","Kambi","GIRAFFE",0,"dgraze",0
15,2018-01-18,2018-04-18,"CONT","Kambi","ELEPHANT",0,"dcount",6.31578947368421
15,2018-01-18,2018-04-18,"CONT","Kambi","ELEPHANT",0,"ddrink",0
15,2018-01-18,2018-04-18,"CONT","Kambi","ELEPHANT",0,"dgraze",0.175438596491228
15,2018-01-18,2018-04-18,"CONT","Kambi","BUFFALO",18.2222222222222,"dcount",194.829626315789
15,2018-01-18,2018-04-18,"CONT","Kambi","BUFFALO",18.2222222222222,"ddrink",0
15,2018-01-18,2018-04-18,"CONT","Kambi","BUFFALO",18.2222222222222,"dgraze",75.3795859649123
15,2018-01-18,2018-04-18,"CONT","Kambi","CATTLE",6.66666666666667,"dcount",22.6491228070175
15,2018-01-18,2018-04-18,"CONT","Kambi","CATTLE",6.66666666666667,"ddrink",0
15,2018-01-18,2018-04-18,"CONT","Kambi","CATTLE",6.66666666666667,"dgraze",17.5087719298246
15,2018-01-18,2018-04-18,"CONT","Kambi","ZEBRA",0,"dcount",13.6710526315789
15,2018-01-18,2018-04-18,"CONT","Kambi","ZEBRA",0,"ddrink",0
15,2018-01-18,2018-04-18,"CONT","Kambi","ZEBRA",0,"dgraze",8.6359649122807
15,2018-01-18,2018-04-18,"CONT","Kambi","IMPALA",0.0825,"dcount",49.6252298245614
15,2018-01-18,2018-04-18,"CONT","Kambi","IMPALA",0.0825,"ddrink",0
15,2018-01-18,2018-04-18,"CONT","Kambi","IMPALA",0.0825,"dgraze",13.542188245614
15,2018-01-18,2018-04-18,"CONT","Kambi","GIRAFFE",0.416666666666667,"dcount",0.789473684210526
15,2018-01-18,2018-04-18,"CONT","Kambi","GIRAFFE",0.416666666666667,"ddrink",0
